IDENT,LAT,LONG,COMMENT,ALTITUDE,N£mero de Individuos,Presen‡a do Lixo,Numero de Barracas,,,,,
204,-25.95867349,32.59117188,01-FEB-15 8:16:01AM,61.00,4,Ausente,ausente,,,,,
205,-25.95891790,32.59158217,01-FEB-15 8:16:17AM,61.00,0,Ausente,Barraca,,,,,
206,-25.95904875,32.59183547,01-FEB-15 8:16:30AM,61.00,2,LA,ausente,,,,,
207,-25.95917992,32.59207377,01-FEB-15 8:16:47AM,61.00,1,LA,ausente,,,,,
208,-25.95992440,32.59342066,01-FEB-15 8:17:34AM,61.00,3,Ausente,Barraca,,,,,
209,-25.96054383,32.59456898,01-FEB-15 8:18:18AM,61.00,1,Ausente,ausente,,,,,
210,-25.96023722,32.59481549,01-FEB-15 8:18:30AM,61.00,0,LA,ausente,,,,,
211,-25.95996506,32.59500434,01-FEB-15 8:18:38AM,60.00,1,Ausente,ausente,,,,,
212,-25.95935854,32.59539611,01-FEB-15 8:19:00AM,60.00,1,Ausente,ausente,,,,,
213,-25.95927766,32.59569769,01-FEB-15 8:19:11AM,59.00,1,Ausente,ausente,,,,,
214,-25.95953506,32.59613866,01-FEB-15 8:19:22AM,60.00,1,Ausente,Barraca,,,,,
215,-25.96037560,32.59590053,01-FEB-15 8:19:47AM,60.00,0,Ausente,ausente,,,,,
216,-25.96111950,32.59544849,01-FEB-15 8:20:03AM,60.00,0,LA,ausente,,,,,
217,-25.96155183,32.59614461,01-FEB-15 8:20:27AM,58.00,2,LA,ausente,,,,,
218,-25.96117046,32.59649606,01-FEB-15 8:20:40AM,58.00,1,Ausente,ausente,,,,,
219,-25.96049345,32.59697475,01-FEB-15 8:20:57AM,58.00,3,Ausente,ausente,,,,,
220,-25.96005944,32.59727642,01-FEB-15 8:21:15AM,56.00,1,Ausente,ausente,,,,,
221,-25.95886812,32.59808335,01-FEB-15 8:21:48AM,55.00,1,Ausente,ausente,,,,,
222,-25.95943021,32.59918179,01-FEB-15 8:22:19AM,51.00,1,Ausente,ausente,,,,,
223,-25.96105680,32.60139520,01-FEB-15 8:23:13AM,45.00,1,LA,ausente,,,,,
224,-25.96139484,32.60124500,01-FEB-15 8:23:22AM,44.00,1,Ausente,ausente,,,,,
225,-25.96257250,32.60038929,01-FEB-15 8:23:50AM,47.00,2,Ausente,ausente,,,,,
226,-25.96350607,32.59942705,01-FEB-15 8:24:22AM,49.00,0,LA,ausente,,,,,
227,-25.96422474,32.59892648,01-FEB-15 8:24:37AM,51.00,0,LA,ausente,,,,,
228,-25.96586550,32.59781328,01-FEB-15 8:25:09AM,56.00,2,Ausente,ausente,,,,,
229,-25.96615559,32.59869631,01-FEB-15 8:25:53AM,52.00,5,Ausente,ausente,,,,,
230,-25.95936466,32.60039491,01-FEB-15 8:28:00AM,48.00,2,Ausente,ausente,,,,,
231,-25.95858774,32.59898054,01-FEB-15 8:28:20AM,52.00,2,Ausente,ausente,,,,,
232,-25.95826504,32.59842047,01-FEB-15 8:28:29AM,53.00,2,Ausente,ausente,,,,,
233,-25.95786816,32.59770918,01-FEB-15 8:28:49AM,55.00,5,Ausente,ausente,,,,,
234,-25.95737563,32.59681449,01-FEB-15 8:29:12AM,58.00,3,Ausente,ausente,,,,,
235,-25.95720699,32.59646296,01-FEB-15 8:29:17AM,59.00,0,Ausente,ausente,,,,,
236,-25.95586354,32.59406196,01-FEB-15 8:29:50AM,60.00,1,Ausente,ausente,,,,,
237,-25.95462721,32.59183120,01-FEB-15 8:30:18AM,61.00,1,Ausente,ausente,,,,,
238,-25.95415170,32.59106685,01-FEB-15 8:30:31AM,59.00,1,Ausente,ausente,,,,,
239,-25.95365843,32.59157664,01-FEB-15 8:30:52AM,58.00,1,Ausente,ausente,,,,,
240,-25.95402312,32.59222884,01-FEB-15 8:31:03AM,59.00,1,LA,ausente,,,,,
241,-25.95520263,32.59429883,01-FEB-15 8:31:45AM,58.00,1,LA,ausente,,,,,
242,-25.95547093,32.59480049,01-FEB-15 8:31:55AM,59.00,1,Ausente,ausente,,,,,
243,-25.95574695,32.59530776,01-FEB-15 8:32:05AM,57.00,1,LA,ausente,,,,,
244,-25.95591869,32.59561110,01-FEB-15 8:32:11AM,58.00,2,Ausente,ausente,,,,,
245,-25.95649076,32.59669689,01-FEB-15 8:32:34AM,57.00,2,Ausente,ausente,,,,,
246,-25.95692377,32.59746166,01-FEB-15 8:33:01AM,56.00,2,Ausente,ausente,,,,,
247,-25.95751184,32.59850831,01-FEB-15 8:33:33AM,54.00,3,Ausente,ausente,,,,,
248,-25.95790654,32.59916184,01-FEB-15 8:33:51AM,52.00,1,Ausente,ausente,,,,,
249,-25.95826764,32.59983944,01-FEB-15 8:34:08AM,50.00,1,Ausente,ausente,,,,,
250,-25.95844776,32.60016105,01-FEB-15 8:34:16AM,49.00,2,Ausente,ausente,,,,,
251,-25.95861473,32.60046531,01-FEB-15 8:34:26AM,47.00,3,Ausente,ausente,,,,,
252,-25.95884599,32.60087469,01-FEB-15 8:34:37AM,47.00,0,Ausente,ausente,,,,,
253,-25.95887776,32.60093269,01-FEB-15 8:34:38AM,47.00,0,LA,ausente,,,,,
254,-25.95917565,32.60147860,01-FEB-15 8:34:52AM,45.00,2,Ausente,ausente,,,,,
255,-25.95863233,32.60245166,01-FEB-15 8:35:23AM,40.00,3,Ausente,ausente,,,,,
256,-25.95752475,32.60200004,01-FEB-15 8:35:59AM,43.00,1,Ausente,ausente,,,,,
257,-25.95729844,32.60158463,01-FEB-15 8:36:10AM,45.00,2,Ausente,ausente,,,,,
258,-25.95701295,32.60107183,01-FEB-15 8:36:22AM,46.00,1,Ausente,ausente,,,,,
259,-25.95755358,32.60037001,01-FEB-15 8:36:53AM,48.00,4,Ausente,ausente,,,,,
260,-25.95827292,32.60167507,01-FEB-15 8:38:04AM,43.00,4,Ausente,ausente,,,,,
261,-25.95864365,32.60232442,01-FEB-15 8:38:27AM,42.00,2,Ausente,ausente,,,,,
262,-25.95745970,32.60294259,01-FEB-15 8:38:58AM,39.00,3,LA,ausente,,,,,
263,-25.95672830,32.60231880,01-FEB-15 8:39:23AM,42.00,0,Ausente,ausente,,,,,
264,-25.95602296,32.60129001,01-FEB-15 8:39:57AM,45.00,5,Ausente,ausente,,,,,
265,-25.95561476,32.60208042,01-FEB-15 8:40:35AM,44.00,1,Ausente,ausente,,,,,
266,-25.95510992,32.60195285,01-FEB-15 8:42:28AM,45.00,1,Ausente,ausente,,,,,
267,-25.95513121,32.60391028,01-FEB-15 8:43:32AM,37.00,3,LA,ausente,,,,,
268,-25.95482804,32.60423466,01-FEB-15 8:43:46AM,36.00,1,Ausente,ausente,,,,,
269,-25.95958594,32.60288073,01-FEB-15 8:45:18AM,39.00,2,Ausente,ausente,,,,,
270,-25.95374174,32.59024459,01-FEB-15 8:48:46AM,60.00,1,LA,ausente,,,,,
271,-25.95369598,32.58888764,01-FEB-15 8:49:34AM,59.00,0,Ausente,Restaurante,,,,,
272,-25.95428640,32.58993899,01-FEB-15 8:49:56AM,60.00,0,Ausente,Barraca,,,,,
273,-25.95456602,32.59043897,01-FEB-15 8:50:09AM,61.00,0,Ausente,Barraca,,,,,
274,-25.95488210,32.59037719,01-FEB-15 8:50:19AM,61.00,1,Ausente,ausente,,,,,
275,-25.95492602,32.58889116,01-FEB-15 8:51:03AM,60.00,2,Ausente,ausente,,,,,
276,-25.95523414,32.58924907,01-FEB-15 8:51:17AM,61.00,1,Ausente,ausente,,,,,
277,-25.95553455,32.58970262,01-FEB-15 8:51:35AM,61.00,1,Ausente,ausente,,,,,
278,-25.95593764,32.58918218,01-FEB-15 8:51:52AM,61.00,2,Ausente,ausente,,,,,
279,-25.95650308,32.58881958,01-FEB-15 8:52:50AM,60.00,1,LA,ausente,,,,,
280,-25.95695419,32.58845514,01-FEB-15 8:53:05AM,60.00,1,Ausente,ausente,,,,,
281,-25.95679644,32.58806085,01-FEB-15 8:53:16AM,59.00,1,Ausente,ausente,,,,,
282,-25.95674314,32.58676878,01-FEB-15 8:54:00AM,55.00,1,Ausente,ausente,,,,,
283,-25.95795424,32.58750714,01-FEB-15 8:54:45AM,59.00,2,Ausente,ausente,,,,,
284,-25.95872805,32.58687515,01-FEB-15 8:56:11AM,58.00,1,Ausente,ausente,,,,,
285,-25.95911320,32.58652931,01-FEB-15 8:56:23AM,59.00,2,Ausente,Barraca,,,,,
286,-25.95962768,32.58604970,01-FEB-15 8:56:37AM,59.00,0,LA,ausente,,,,,
287,-25.95869310,32.58452796,01-FEB-15 8:57:35AM,53.00,0,LA,ausente,,,,,
288,-25.95725686,32.58555760,01-FEB-15 8:58:01AM,55.00,1,Ausente,Barraca,,,,,
289,-25.95647056,32.58608918,01-FEB-15 8:58:16AM,54.00,0,LA,ausente,,,,,
290,-25.95577461,32.58662017,01-FEB-15 8:58:31AM,56.00,0,LA,ausente,,,,,
291,-25.95306750,32.58846620,01-FEB-15 8:59:21AM,58.00,1,Ausente,ausente,,,,,
292,-25.95360403,32.59037761,01-FEB-15 9:00:02AM,61.00,2,Ausente,ausente,,,,,
293,-25.95392522,32.59102293,01-FEB-15 9:00:15AM,62.00,2,Ausente,ausente,,,,,
294,-25.95271840,32.59231098,01-FEB-15 9:00:49AM,56.00,1,Ausente,ausente,,,,,
295,-25.95182003,32.59326694,01-FEB-15 9:01:15AM,54.00,0,Ausente,ausente,,,,,
296,-25.95146094,32.59365602,01-FEB-15 9:01:25AM,53.00,1,Ausente,ausente,,,,,
297,-25.95077204,32.59281205,01-FEB-15 9:02:00AM,55.00,5,Ausente,ausente,,,,,
298,-25.95017332,32.59162827,01-FEB-15 9:02:38AM,55.00,0,LA,ausente,,,,,
